,method1,method2,metric,value,dataName
94,infomap,multilevel,adjusted_rand,-0.00016294729080814236,Copperfield
95,infomap,multilevel,vi,1.7142250334665072,Copperfield
96,infomap,multilevel,nmi,0.05592489995146854,Copperfield
98,infomap,multilevel,rand,0.20994208494208483,Copperfield
99,infomap,multilevel,adjusted_rand,0.012072835151283436,Copperfield
100,infomap,multilevel,vi,1.9005511800475927,Copperfield
101,infomap,multilevel,nmi,0.04368915022863575,Copperfield
103,infomap,multilevel,rand,0.18034105534105527,Copperfield
104,infomap,multilevel,adjusted_rand,0.010252233825219878,Copperfield
105,infomap,multilevel,vi,1.632616922446007,Copperfield
106,infomap,multilevel,nmi,0.07606522103857602,Copperfield
108,infomap,multilevel,rand,0.21685971685971692,Copperfield
109,infomap,multilevel,adjusted_rand,0.009186838401685991,Copperfield
110,infomap,multilevel,vi,1.8735308450488497,Copperfield
111,infomap,multilevel,nmi,0.053856120765077516,Copperfield
112,infomap,multilevel,split-join,86.0,Copperfield
113,infomap,multilevel,rand,0.19321106821106823,Copperfield
114,infomap,multilevel,adjusted_rand,0.003304545558993438,Copperfield
115,infomap,multilevel,vi,1.8851730987470843,Copperfield
116,infomap,multilevel,nmi,0.05109303688705763,Copperfield
118,infomap,multilevel,rand,0.20511583011583012,Copperfield
119,infomap,multilevel,adjusted_rand,-0.001824833748618631,Copperfield
120,infomap,multilevel,vi,1.8160006034209315,Copperfield
121,infomap,multilevel,nmi,0.07057996126533497,Copperfield
122,infomap,multilevel,split-join,94.0,Copperfield
123,infomap,multilevel,rand,0.21718146718146708,Copperfield
124,infomap,multilevel,adjusted_rand,0.003037170899800193,Copperfield
125,infomap,multilevel,vi,1.8993411492207373,Copperfield
126,infomap,multilevel,nmi,0.06493608638794826,Copperfield
128,infomap,multilevel,rand,0.19385456885456886,Copperfield
129,infomap,multilevel,adjusted_rand,0.0026905185672233024,Copperfield
130,infomap,multilevel,vi,1.7143759710387998,Copperfield
131,infomap,multilevel,nmi,0.05556757133648178,Copperfield
133,infomap,multilevel,rand,0.19578507078507085,Copperfield
134,infomap,multilevel,adjusted_rand,0.004553745708702126,Copperfield
0,infomap,multilevel,vi,1.0046350551664784,Bsubtilis
1,infomap,multilevel,nmi,0.7795863783868391,Bsubtilis
2,infomap,multilevel,split-join,99.0,Bsubtilis
3,infomap,multilevel,rand,0.9175710874755807,Bsubtilis
4,infomap,multilevel,adjusted_rand,0.6979074475677836,Bsubtilis
5,infomap,multilevel,vi,1.0517699082548622,Bsubtilis
6,infomap,multilevel,nmi,0.7996031347259059,Bsubtilis
7,infomap,multilevel,split-join,97.0,Bsubtilis
8,infomap,multilevel,rand,0.9258736705014109,Bsubtilis
