,method1,method2,metric,value,dataName
69,infomap,multilevel,adjusted_rand,0.015043820782049876,Copperfield
70,infomap,multilevel,vi,1.922774284039177,Copperfield
71,infomap,multilevel,nmi,0.04459716002168323,Copperfield
73,infomap,multilevel,rand,0.17841055341055348,Copperfield
74,infomap,multilevel,adjusted_rand,0.005557060814221131,Copperfield
75,infomap,multilevel,vi,1.8879995605843636,Copperfield
76,infomap,multilevel,nmi,0.05998919666664631,Copperfield
78,infomap,multilevel,rand,0.18371943371943367,Copperfield
79,infomap,multilevel,adjusted_rand,-0.00035231553073764027,Copperfield
80,infomap,multilevel,vi,1.750499006233949,Copperfield
81,infomap,multilevel,nmi,0.0658775086899361,Copperfield
83,infomap,multilevel,rand,0.1854890604890604,Copperfield
84,infomap,multilevel,adjusted_rand,0.0008503981139858197,Copperfield
85,infomap,multilevel,vi,1.9175173683342492,Copperfield
86,infomap,multilevel,nmi,0.024735426543573764,Copperfield
88,infomap,multilevel,rand,0.18291505791505797,Copperfield
89,infomap,multilevel,adjusted_rand,0.00482239659912082,Copperfield
90,infomap,multilevel,vi,1.7631364102614888,Copperfield
91,infomap,multilevel,nmi,0.06781248177895685,Copperfield
93,infomap,multilevel,rand,0.1967503217503217,Copperfield
94,infomap,multilevel,adjusted_rand,0.012392557215867257,Copperfield
95,infomap,multilevel,vi,1.7705363712643662,Copperfield
96,infomap,multilevel,nmi,0.06492416035351169,Copperfield
97,infomap,multilevel,split-join,86.0,Copperfield
98,infomap,multilevel,rand,0.18967181467181468,Copperfield
99,infomap,multilevel,adjusted_rand,0.009276995089055773,Copperfield
100,infomap,multilevel,vi,1.7932505368216731,Copperfield
101,infomap,multilevel,nmi,0.07419730350768929,Copperfield
103,infomap,multilevel,rand,0.21042471042471048,Copperfield
104,infomap,multilevel,adjusted_rand,0.012053236313380171,Copperfield
105,infomap,multilevel,vi,2.027101528301484,Copperfield
106,infomap,multilevel,nmi,0.05513777797188203,Copperfield
108,infomap,multilevel,rand,0.19691119691119682,Copperfield
109,infomap,multilevel,adjusted_rand,0.0038240373055341043,Copperfield
110,infomap,multilevel,vi,1.7261511613266503,Copperfield
111,infomap,multilevel,nmi,0.07146792260357751,Copperfield
113,infomap,multilevel,rand,0.1858108108108107,Copperfield
114,infomap,multilevel,adjusted_rand,0.009616227817136953,Copperfield
115,infomap,multilevel,vi,1.9031262283147858,Copperfield
116,infomap,multilevel,nmi,0.04855818361009241,Copperfield
118,infomap,multilevel,rand,0.1914414414414414,Copperfield
119,infomap,multilevel,adjusted_rand,0.0006792358797309233,Copperfield
120,infomap,multilevel,vi,1.7914300414289015,Copperfield
121,infomap,multilevel,nmi,0.1261446589276634,Copperfield
122,infomap,multilevel,split-join,84.0,Copperfield
123,infomap,multilevel,rand,0.1912805662805664,Copperfield
124,infomap,multilevel,adjusted_rand,0.015455520897827467,Copperfield
125,infomap,multilevel,vi,1.864065834368612,Copperfield
126,infomap,multilevel,nmi,0.05531402736058728,Copperfield
127,infomap,multilevel,split-join,83.0,Copperfield
128,infomap,multilevel,rand,0.2144465894465894,Copperfield
129,infomap,multilevel,adjusted_rand,0.0076198480981133345,Copperfield
130,infomap,multilevel,vi,1.7664326832502106,Copperfield
131,infomap,multilevel,nmi,0.06715779270306253,Copperfield
133,infomap,multilevel,rand,0.21943371943371942,Copperfield
134,infomap,multilevel,adjusted_rand,0.013109214500233297,Copperfield
0,infomap,multilevel,vi,0.9391766212106227,Bsubtilis
1,infomap,multilevel,nmi,0.8190702922421761,Bsubtilis
2,infomap,multilevel,split-join,117.0,Bsubtilis
3,infomap,multilevel,rand,0.9070164966355546,Bsubtilis
4,infomap,multilevel,adjusted_rand,0.6931878916419179,Bsubtilis
5,infomap,multilevel,vi,0.9842530700777141,Bsubtilis
6,infomap,multilevel,nmi,0.815993412619076,Bsubtilis
7,infomap,multilevel,split-join,114.0,Bsubtilis
8,infomap,multilevel,rand,0.9399555024962013,Bsubtilis
9,infomap,multilevel,adjusted_rand,0.6874822436878592,Bsubtilis
10,infomap,multilevel,vi,0.9337096419349646,Bsubtilis
11,infomap,multilevel,nmi,0.7807240306475662,Bsubtilis
13,infomap,multilevel,rand,0.9392229216409811,Bsubtilis
14,infomap,multilevel,adjusted_rand,0.6808707786717101,Bsubtilis
15,infomap,multilevel,vi,0.9912811639707302,Bsubtilis
16,infomap,multilevel,nmi,0.8091071113154266,Bsubtilis
17,infomap,multilevel,split-join,115.0,Bsubtilis
18,infomap,multilevel,rand,0.9268504449750378,Bsubtilis
19,infomap,multilevel,adjusted_rand,0.7366963380850396,Bsubtilis
20,infomap,multilevel,vi,1.067404370426405,Bsubtilis
21,infomap,multilevel,nmi,0.7880593606317234,Bsubtilis
23,infomap,multilevel,rand,0.8877794660299544,Bsubtilis
24,infomap,multilevel,adjusted_rand,0.6347088231656698,Bsubtilis
25,infomap,multilevel,vi,0.9999362377672143,Bsubtilis
26,infomap,multilevel,nmi,0.77932190296322,Bsubtilis
27,infomap,multilevel,split-join,118.0,Bsubtilis
28,infomap,multilevel,rand,0.9331994790536141,Bsubtilis
29,infomap,multilevel,adjusted_rand,0.725461022355264,Bsubtilis
30,infomap,multilevel,vi,0.9665656958415498,Bsubtilis
31,infomap,multilevel,nmi,0.8116595322329084,Bsubtilis
32,infomap,multilevel,split-join,121.0,Bsubtilis
33,infomap,multilevel,rand,0.932602561319731,Bsubtilis
34,infomap,multilevel,adjusted_rand,0.5409796184255351,Bsubtilis
35,infomap,multilevel,vi,0.9118729626658508,Bsubtilis
36,infomap,multilevel,nmi,0.7839465416847802,Bsubtilis
37,infomap,multilevel,split-join,134.0,Bsubtilis
38,infomap,multilevel,rand,0.9341762535272413,Bsubtilis
39,infomap,multilevel,adjusted_rand,0.6891872422341657,Bsubtilis
41,infomap,multilevel,nmi,0.8097751254745986,Bsubtilis
42,infomap,multilevel,split-join,125.0,Bsubtilis
43,infomap,multilevel,rand,0.9137996527024093,Bsubtilis
44,infomap,multilevel,adjusted_rand,0.6823667752569008,Bsubtilis
45,infomap,multilevel,vi,0.9048523532794945,Bsubtilis
46,infomap,multilevel,nmi,0.7785816838307986,Bsubtilis
48,infomap,multilevel,rand,0.933389407423486,Bsubtilis
49,infomap,multilevel,adjusted_rand,0.6532290093402698,Bsubtilis
50,infomap,multilevel,vi,1.1437692761406604,Bsubtilis
52,infomap,multilevel,split-join,101.0,Bsubtilis
53,infomap,multilevel,rand,0.939982635120469,Bsubtilis
54,infomap,multilevel,adjusted_rand,0.770526080170465,Bsubtilis
55,infomap,multilevel,vi,1.0517699082548622,Bsubtilis
56,infomap,multilevel,nmi,0.7858924204863499,Bsubtilis
58,infomap,multilevel,rand,0.932032776210115,Bsubtilis
59,infomap,multilevel,adjusted_rand,0.6908707702649235,Bsubtilis
60,infomap,multilevel,vi,1.0699196241910345,Bsubtilis
61,infomap,multilevel,nmi,0.8091476654323531,Bsubtilis
62,infomap,multilevel,split-join,116.0,Bsubtilis
63,infomap,multilevel,rand,0.9084002604731931,Bsubtilis
64,infomap,multilevel,adjusted_rand,0.7047488630274751,Bsubtilis
65,infomap,multilevel,vi,0.8517602331643381,Bsubtilis
66,infomap,multilevel,nmi,0.8000595505494253,Bsubtilis
68,infomap,multilevel,rand,0.9487736053831128,Bsubtilis
69,infomap,multilevel,adjusted_rand,0.5580346212143096,Bsubtilis
70,infomap,multilevel,vi,0.9138712787954821,Bsubtilis
71,infomap,multilevel,nmi,0.8206778353432668,Bsubtilis
72,infomap,multilevel,split-join,108.0,Bsubtilis
73,infomap,multilevel,rand,0.9474712394182765,Bsubtilis
74,infomap,multilevel,adjusted_rand,0.6447988663828118,Bsubtilis
75,infomap,multilevel,vi,1.01429869874076,Bsubtilis
76,infomap,multilevel,nmi,0.7749316077976323,Bsubtilis
77,infomap,multilevel,split-join,113.0,Bsubtilis
78,infomap,multilevel,rand,0.9329824180594746,Bsubtilis
79,infomap,multilevel,adjusted_rand,0.6999382775414207,Bsubtilis
80,infomap,multilevel,vi,1.0202375955774925,Bsubtilis
81,infomap,multilevel,nmi,0.7682268756247963,Bsubtilis
83,infomap,multilevel,rand,0.920175819405253,Bsubtilis
84,infomap,multilevel,adjusted_rand,0.5200412832004672,Bsubtilis
85,infomap,multilevel,vi,0.9506133457358974,Bsubtilis
86,infomap,multilevel,nmi,0.7711892048834281,Bsubtilis
87,infomap,multilevel,split-join,109.0,Bsubtilis
88,infomap,multilevel,rand,0.9387616670284352,Bsubtilis
89,infomap,multilevel,adjusted_rand,0.7216956257136675,Bsubtilis
0,infomap,multilevel,vi,0.22161894824556816,Iceland
1,infomap,multilevel,nmi,0.8643994750347047,Iceland
2,infomap,multilevel,split-join,20.0,Iceland
3,infomap,multilevel,rand,0.8733604703753959,Iceland
4,infomap,multilevel,adjusted_rand,0.5947382570018088,Iceland
5,infomap,multilevel,vi,0.7932381252449425,Iceland
6,infomap,multilevel,nmi,0.9354814768322068,Iceland
7,infomap,multilevel,split-join,25.0,Iceland
8,infomap,multilevel,rand,0.9764812302125734,Iceland
9,infomap,multilevel,adjusted_rand,0.8598726114649681,Iceland
10,infomap,multilevel,vi,0.18662820542267422,Iceland
11,infomap,multilevel,nmi,0.8653963774156602,Iceland
12,infomap,multilevel,split-join,4.0,Iceland
13,infomap,multilevel,rand,0.9701492537313434,Iceland
14,infomap,multilevel,adjusted_rand,0.9467582854204645,Iceland
15,infomap,multilevel,vi,0.2282897445624581,Iceland
16,infomap,multilevel,nmi,0.9512502721595923,Iceland
17,infomap,multilevel,split-join,6.0,Iceland
18,infomap,multilevel,rand,0.8968792401628222,Iceland
19,infomap,multilevel,adjusted_rand,0.908076465745907,Iceland
20,infomap,multilevel,vi,0.2652759387161989,Iceland
22,infomap,multilevel,split-join,10.0,Iceland
23,infomap,multilevel,rand,0.984622342831298,Iceland
24,infomap,multilevel,adjusted_rand,0.6331380066195667,Iceland
25,infomap,multilevel,vi,0.1715598532658329,Iceland
27,infomap,multilevel,split-join,18.0,Iceland
