,method1,method2,metric,value,dataName
68,infomap,multilevel,rand,0.9439450026441036,Dolphins
69,infomap,multilevel,adjusted_rand,0.9108592567143788,Dolphins
73,infomap,multilevel,rand,1.0,Dolphins
75,infomap,multilevel,vi,0.35350690652923467,Dolphins
78,infomap,multilevel,rand,0.9518773135906929,Dolphins
80,infomap,multilevel,vi,0.4084693994266817,Dolphins
83,infomap,multilevel,rand,0.9338974087784242,Dolphins
88,infomap,multilevel,rand,0.9153886832363831,Dolphins
89,infomap,multilevel,adjusted_rand,0.7012096278653319,Dolphins
90,infomap,multilevel,vi,0.47328358620356425,Dolphins
91,infomap,multilevel,nmi,0.9503495750078393,Dolphins
92,infomap,multilevel,split-join,21.0,Dolphins
94,infomap,multilevel,adjusted_rand,0.9513775503644752,Dolphins
95,infomap,multilevel,vi,0.4619640228273534,Dolphins
96,infomap,multilevel,nmi,0.7908566338289987,Dolphins
97,infomap,multilevel,split-join,2.0,Dolphins
