,method1,method2,metric,value,dataName
59,infomap,multilevel,adjusted_rand,0.003567902672590942,Copperfield
60,infomap,multilevel,vi,1.8288980991855388,Copperfield
61,infomap,multilevel,nmi,0.05830390958293543,Copperfield
63,infomap,multilevel,rand,0.18323680823680807,Copperfield
64,infomap,multilevel,adjusted_rand,0.012790298793159448,Copperfield
65,infomap,multilevel,vi,1.9018401858597902,Copperfield
66,infomap,multilevel,nmi,0.08003776997102142,Copperfield
68,infomap,multilevel,rand,0.21541184041184025,Copperfield
69,infomap,multilevel,adjusted_rand,0.007673546744324344,Copperfield
70,infomap,multilevel,vi,1.9020501125342828,Copperfield
71,infomap,multilevel,nmi,0.11919814560062233,Copperfield
73,infomap,multilevel,rand,0.18645431145431138,Copperfield
74,infomap,multilevel,adjusted_rand,0.006225154666123643,Copperfield
75,infomap,multilevel,vi,1.9401331679008909,Copperfield
76,infomap,multilevel,nmi,0.05373294873586314,Copperfield
78,infomap,multilevel,rand,0.22168597168597154,Copperfield
79,infomap,multilevel,adjusted_rand,0.005897967581349189,Copperfield
80,infomap,multilevel,vi,1.8309610363760616,Copperfield
81,infomap,multilevel,nmi,0.04570261896711815,Copperfield
82,infomap,multilevel,split-join,87.0,Copperfield
83,infomap,multilevel,rand,0.18227155727155717,Copperfield
84,infomap,multilevel,adjusted_rand,0.010454881592157707,Copperfield
85,infomap,multilevel,vi,1.8959396826707788,Copperfield
86,infomap,multilevel,nmi,0.07163432208800498,Copperfield
87,infomap,multilevel,split-join,80.0,Copperfield
88,infomap,multilevel,rand,0.18548906048906047,Copperfield
89,infomap,multilevel,adjusted_rand,0.021665622362549635,Copperfield
90,infomap,multilevel,vi,1.9192114152310165,Copperfield
91,infomap,multilevel,nmi,0.07170811174268056,Copperfield
93,infomap,multilevel,rand,0.1829150579150578,Copperfield
94,infomap,multilevel,adjusted_rand,0.009490803287868749,Copperfield
95,infomap,multilevel,vi,1.894333461498548,Copperfield
96,infomap,multilevel,nmi,0.061056488833359436,Copperfield
98,infomap,multilevel,rand,0.2387387387387387,Copperfield
99,infomap,multilevel,adjusted_rand,-0.002856008109213676,Copperfield
